winner_name,loser_name,winner_tot_minutes,loser_tot_minutes,tourney_id,surface,abs_minute_diff,winner_adv,adv_category
Fiona Ferro,Anett Kontaveit,493,538,2020-0466,Clay,45,1,0-49
Aryna Sabalenka,Elise Mertens,452,594,2020-0528,Hard,142,1,100-149
Simona Halep,Elena Rybakina,425,581,2020-0718,Hard,156,1,150+
Karolina Pliskova,Madison Keys,529,457,2020-0800,Hard,72,0,50-99
Aryna Sabalenka,Petra Kvitova,475,509,2020-1003,Hard,34,1,0-49
Elina Svitolina,Marie Bouzkova,466,575,2020-1039,Hard,109,1,100-149
Serena Williams,Jessica Pegula,414,381,2020-1049,Hard,33,0,0-49
Elena Rybakina,Shuai Zhang,545,490,2020-1050,Hard,55,0,50-99
Ekaterina Alexandrova,Elena Rybakina,447,469,2020-1063,Hard,22,1,0-49
Simona Halep,Elise Mertens,518,610,2020-1082,Clay,92,1,50-99
Kiki Bertens,Elena Rybakina,342,486,2020-1086,Hard,144,1,100-149
Magda Linette,Leonie Kung,447,483,2020-1096,Hard,36,1,0-49
Sofia Kenin,Anna Lena Friedsam,601,541,2020-2011,Hard,60,0,50-99
Patricia Maria Tig,Eugenie Bouchard,525,680,2020-2020,Clay,155,1,150+
Jennifer Brady,Jil Teichmann,370,413,2020-2022,Hard,43,1,0-49
Aryna Sabalenka,Victoria Azarenka,398,388,2020-2025,Hard,10,0,0-49
Iga Swiatek,Sofia Kenin,504,718,2020-520,Clay,214,1,150+
Naomi Osaka,Victoria Azarenka,739,676,2020-560,Hard,63,0,50-99
Sofia Kenin,Garbine Muguruza,706,711,2020-580,Hard,5,1,0-49
Heather Watson,Leylah Fernandez,638,480,2020-M004,Hard,158,0,150+
Simona Halep,Karolina Pliskova,387,395,2020-M009,Clay,8,1,0-49
Victoria Azarenka,Naomi Osaka,543,457,2020-M024,Hard,86,0,50-99
Ashleigh Barty,Dayana Yastremska,410,380,2020-M056,Hard,30,0,0-49
Petra Kvitova,Garbine Muguruza,334,384,2021-1003,Hard,50,1,50-99
Ashleigh Barty,Jil Teichmann,395,484,2021-1017,Hard,89,1,50-99
Aryna Sabalenka,Ashleigh Barty,417,561,2021-1038,Clay,144,1,100-149
Leylah Fernandez,Viktorija Golubic,459,444,2021-1039,Hard,15,0,0-49
Ashleigh Barty,Aryna Sabalenka,437,466,2021-1051,Clay,29,1,0-49
Ons Jabeur,Daria Kasatkina,415,488,2021-1052,Grass,73,1,50-99
Johanna Konta,Shuai Zhang,518,452,2021-1080,Grass,66,0,50-99
Barbora Krejcikova,Tereza Martincova,364,374,2021-1082,Hard,10,1,0-49
Daria Kasatkina,Margarita Gasparyan,537,502,2021-1086,Hard,35,0,0-49
Tamara Zidansek,Clara Burel,571,554,2021-1094,Clay,17,0,0-49
Sara Sorribes Tormo,Eugenie Bouchard,557,483,2021-2002,Hard,74,0,50-99
Clara Tauson,Viktorija Golubic,412,528,2021-2011,Hard,116,1,100-149
Liudmila Samsonova,Belinda Bencic,488,570,2021-2012,Grass,82,1,50-99
Angelique Kerber,Katerina Siniakova,411,493,2021-2017,Grass,82,1,50-99
Sorana Cirstea,Elise Mertens,469,520,2021-2020,Clay,51,1,50-99
Anett Kontaveit,Maria Sakkari,406,385,2021-2025,Hard,21,0,0-49
Ashleigh Barty,Garbine Muguruza,397,344,2021-2026,Hard,53,0,50-99
Daria Kasatkina,Marie Bouzkova,0,0,2021-2027,Hard,0,0,0-49
Aryna Sabalenka,Veronika Kudermetova,519,598,2021-2028,Hard,79,1,50-99
Elise Mertens,Kaia Kanepi,361,473,2021-2029,Hard,112,1,100-149
Iga Swiatek,Belinda Bencic,360,399,2021-2030,Hard,39,1,0-49
Astra Sharma,Ons Jabeur,542,379,2021-2033,Clay,163,0,150+
Paula Badosa,Ana Konjuh,348,457,2021-2035,Clay,109,1,100-149
Yulia Putintseva,Anhelina Kalinina,574,504,2021-2036,Clay,70,0,50-99
Maryna Zanevska,Kristina Kucova,434,654,2021-2037,Clay,220,1,150+
Anett Kontaveit,Irina Camelia Begu,539,543,2021-2040,Hard,4,1,0-49
Cori Gauff,Qiang Wang,491,611,2021-2041,Clay,120,1,100-149
Elena Gabriela Ruse,Andrea Petkovic,607,622,2021-2042,Clay,15,1,0-49
Andrea Petkovic,Mayar Sherif,461,399,2021-2043,Clay,62,0,50-99
Jasmine Paolini,Alison Riske,559,518,2021-2044,Hard,41,0,0-49
Donna Vekic,Clara Tauson,443,491,2021-2046,Hard,48,1,0-49
Elina Svitolina,Alize Cornet,503,676,2021-2047,Hard,173,1,150+
Garbine Muguruza,Ons Jabeur,287,371,2021-2048,Hard,84,1,50-99
Ann Li,Camila Osorio,499,457,2021-2049,Hard,42,0,0-49
Anett Kontaveit,Simona Halep,334,346,2021-2050,Hard,12,1,0-49
Alison Van Uytvanck,Yulia Putintseva,499,562,2021-2053,Hard,63,1,50-99
Clara Tauson,Jelena Ostapenko,555,465,2021-300,Hard,90,0,50-99
Barbora Krejcikova,Sorana Cirstea,494,392,2021-406,Clay,102,0,100-149
Danielle Collins,Elena Gabriela Ruse,426,478,2021-466,Clay,52,1,50-99
Barbora Krejcikova,Anastasia Pavlyuchenkova,789,761,2021-520,Clay,28,0,0-49
Alison Riske,Jaqueline Cristian,465,410,2021-528,Hard,55,0,50-99
Ashleigh Barty,Karolina Pliskova,655,626,2021-540,Grass,29,0,0-49
Emma Raducanu,Leylah Fernandez,573,876,2021-560,Hard,303,1,150+
Naomi Osaka,Jennifer Brady,540,585,2021-580,Hard,45,1,0-49
Paula Badosa,Victoria Azarenka,596,697,2021-609,Hard,101,1,100-149
Belinda Bencic,Marketa Vondrousova,0,0,2021-650,Hard,0,0,0-49
Danielle Collins,Daria Kasatkina,520,507,2021-703,Hard,13,0,0-49
Iga Swiatek,Karolina Pliskova,554,467,2021-709,Clay,87,0,50-99
Jelena Ostapenko,Anett Kontaveit,426,446,2021-710,Grass,20,1,0-49
Garbine Muguruza,Barbora Krejcikova,619,546,2021-718,Hard,73,0,50-99
Anett Kontaveit,Ekaterina Alexandrova,406,349,2021-730,Hard,57,0,50-99
Veronika Kudermetova,Danka Kovinic,497,664,2021-804,Clay,167,1,150+
Camila Giorgi,Karolina Pliskova,506,398,2021-806,Hard,108,0,100-149
Garbine Muguruza,Anett Kontaveit,546,439,2021-808,Hard,107,0,100-149
Camila Osorio,Tamara Zidansek,553,488,2021-894,Clay,65,0,50-99
Ashleigh Barty,Bianca Andreescu,615,786,2021-902,Hard,171,1,150+
Iga Swiatek,Anett Kontaveit,414,397,2022-1003,Hard,17,0,0-49
Martina Trevisan,Claire Liu,515,427,2022-1005,Clay,88,0,50-99
Ons Jabeur,Jessica Pegula,558,635,2022-1038,Clay,77,1,50-99
Leylah Fernandez,Camila Osorio,581,610,2022-1039,Hard,29,1,0-49
Iga Swiatek,Aryna Sabalenka,434,401,2022-1051,Clay,33,0,0-49
Anett Kontaveit,Maria Sakkari,558,666,2022-1086,Hard,108,1,100-149
Sloane Stephens,Marie Bouzkova,578,623,2022-2002,Hard,45,1,0-49
Shuai Zhang,Dayana Yastremska,431,608,2022-2011,Hard,177,1,150+
Ashleigh Barty,Elena Rybakina,351,480,2022-2014,Hard,129,1,100-149
Anastasia Potapova,Veronika Kudermetova,414,374,2022-2020,Clay,40,0,0-49
Madison Keys,Alison Riske,431,261,2022-2030,Hard,170,0,150+
Simona Halep,Veronika Kudermetova,453,431,2022-2058,Hard,22,0,0-49
Amanda Anisimova,Aliaksandra Sasnovich,477,501,2022-2059,Hard,24,1,0-49
Paula Badosa,Barbora Krejcikova,542,457,2022-2060,Hard,85,0,50-99
Angelique Kerber,Kaja Juvan,593,566,2022-406,Clay,27,0,0-49
Iga Swiatek,Cori Gauff,0,0,2022-520,Clay,0,0,0-49
Ashleigh Barty,Danielle Collins,453,724,2022-580,Hard,271,1,150+
Iga Swiatek,Maria Sakkari,631,487,2022-609,Hard,144,0,100-149
Iga Swiatek,Ons Jabeur,448,545,2022-709,Clay,97,1,50-99
Jelena Ostapenko,Veronika Kudermetova,521,434,2022-718,Hard,87,0,50-99
Belinda Bencic,Ons Jabeur,739,453,2022-804,Clay,286,0,150+
Tatjana Maria,Laura Pigossi,455,610,2022-894,Clay,155,1,150+
Iga Swiatek,Naomi Osaka,479,498,2022-902,Hard,19,1,0-49
