player_name,win,sets,ace,df,svpt,first_in,first_won,second_in,second_won,matches_played,win_pct,first_won_pct,second_in_won_pct,second_won_pct,aces_set,df_set,aces_match,df_match
Caroline Wozniacki,66,230,293,216,6944,4543,3003,2185,1154,100,0.66,0.6610169491525424,0.5281464530892449,0.48063306955435237,1.2739130434782608,0.9391304347826087,2.93,2.16
Catalina Pella,4,17,19,25,425,280,167,120,71,7,0.5714285714285714,0.5964285714285714,0.5916666666666667,0.4896551724137931,1.1176470588235294,1.4705882352941178,2.7142857142857144,3.5714285714285716
Catherine Cartan Bellis,14,64,36,89,1988,1251,762,648,334,28,0.5,0.6091127098321343,0.5154320987654321,0.4531886024423338,0.5625,1.390625,1.2857142857142858,3.1785714285714284
Catherine Harrison,0,4,3,12,113,69,32,32,13,2,0,0.463768115942029,0.40625,0.29545454545454547,0.75,3,1.5,6
Caty Mcnally,14,89,76,226,2786,1724,1047,836,445,39,0.358974358974359,0.607308584686775,0.5322966507177034,0.4190207156308851,0.8539325842696629,2.539325842696629,1.9487179487179487,5.794871794871795
Chanel Simmonds,1,6,2,6,169,100,57,63,26,3,0.3333333333333333,0.57,0.4126984126984127,0.37681159420289856,0.3333333333333333,1,0.6666666666666666,2
Chang Liu,0,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,0,0,0
Charlotte Roemer,5,21,4,13,566,409,229,144,84,10,0.5,0.5599022004889975,0.5833333333333334,0.535031847133758,0.19047619047619047,0.6190476190476191,0.4,1.3
Charmaine Shi Yi Seah,3,7,4,12,219,139,88,68,37,3,1,0.6330935251798561,0.5441176470588235,0.4625,0.5714285714285714,1.7142857142857142,1.3333333333333333,4
Chieh Yu Hsu,0,9,1,20,325,181,97,124,48,4,0,0.5359116022099447,0.3870967741935484,0.3333333333333333,0.1111111111111111,2.2222222222222223,0.25,5
Chihiro Muramatsu,0,5,0,4,145,102,55,39,17,2,0,0.5392156862745098,0.4358974358974359,0.3953488372093023,0,0.8,0,2
Ching Wen Hsu,0,2,0,4,55,26,11,25,13,1,0,0.4230769230769231,0.52,0.4482758620689655,0,2,0,4
Chiraz Bechri,2,14,2,15,404,277,150,112,55,7,0.2857142857142857,0.5415162454873647,0.49107142857142855,0.4330708661417323,0.14285714285714285,1.0714285714285714,0.2857142857142857,2.142857142857143
Chloe Paquet,7,70,102,151,2091,1147,705,793,411,30,0.23333333333333334,0.6146469049694856,0.5182849936948297,0.4353813559322034,1.457142857142857,2.157142857142857,3.4,5.033333333333333
Chloe Weekes,0,4,0,0,0,0,0,0,0,2,0,NA,NA,NA,0,0,0,0
Chompoothip Jandakate,1,4,1,14,115,70,44,31,18,2,0.5,0.6285714285714286,0.5806451612903226,0.4,0.25,3.5,0.5,7
Christina Mchale,23,177,110,292,5732,3628,2166,1812,859,74,0.3108108108108108,0.5970231532524807,0.47406181015452536,0.4082699619771863,0.6214689265536724,1.6497175141242937,1.4864864864864864,3.945945945945946
Claire Liu,16,83,84,130,2571,1629,967,812,402,34,0.47058823529411764,0.5936157151626765,0.49507389162561577,0.4267515923566879,1.0120481927710843,1.5662650602409638,2.4705882352941178,3.823529411764706
Clara Burel,16,91,58,198,2721,1540,918,983,491,39,0.41025641025641024,0.5961038961038961,0.49949135300101727,0.4157493649449619,0.6373626373626373,2.1758241758241756,1.4871794871794872,5.076923076923077
Clara Tauson,31,122,196,135,3643,2187,1442,1321,700,53,0.5849056603773585,0.6593507087334248,0.5299015897047691,0.4807692307692308,1.6065573770491803,1.1065573770491803,3.69811320754717,2.547169811320755
Coco Vandeweghe,18,118,289,265,3511,1894,1300,1352,742,50,0.36,0.6863780359028511,0.5488165680473372,0.4588744588744589,2.4491525423728815,2.2457627118644066,5.78,5.3
Conny Perrin,1,20,17,28,632,388,232,216,104,8,0.125,0.5979381443298969,0.48148148148148145,0.4262295081967213,0.85,1.4,2.125,3.5
Cori Gauff,76,267,444,618,7838,4791,3205,2429,1370,116,0.6551724137931034,0.6689626382801085,0.5640181144503911,0.4496225795864785,1.6629213483146068,2.3146067415730336,3.8275862068965516,5.327586206896552
Cornelia Lister,2,8,10,8,231,155,94,68,29,3,0.6666666666666666,0.6064516129032258,0.4264705882352941,0.3815789473684211,1.25,1,3.3333333333333335,2.6666666666666665
Cristiana Ferrando,0,5,3,8,166,103,59,55,29,2,0,0.5728155339805825,0.5272727272727272,0.4603174603174603,0.6,1.6,1.5,4
Cristina Bucsa,2,27,4,36,735,525,284,174,77,11,0.18181818181818182,0.540952380952381,0.4425287356321839,0.36666666666666664,0.14814814814814814,1.3333333333333333,0.36363636363636365,3.272727272727273
Dabin Kim,0,2,0,8,68,36,18,24,9,1,0,0.5,0.375,0.28125,0,4,0,8
Daianne Hayashida,0,2,0,8,75,40,20,27,13,1,0,0.5,0.48148148148148145,0.37142857142857144,0,4,0,8
Dalila Jakupovic,17,116,86,141,3529,2177,1265,1211,596,50,0.34,0.5810748736793753,0.4921552436003303,0.4408284023668639,0.7413793103448276,1.2155172413793103,1.72,2.82
Dalma Galfi,8,43,54,51,1233,785,499,397,208,19,0.42105263157894735,0.6356687898089172,0.5239294710327456,0.4642857142857143,1.255813953488372,1.186046511627907,2.8421052631578947,2.6842105263157894
Dana Guzman,4,14,1,13,220,151,83,56,29,7,0.5714285714285714,0.5496688741721855,0.5178571428571429,0.42028985507246375,0.07142857142857142,0.9285714285714286,0.14285714285714285,1.8571428571428572
Daniela Alejandra La Fuente Strassburger,2,8,2,9,243,136,77,98,55,4,0.5,0.5661764705882353,0.5612244897959183,0.514018691588785,0.25,1.125,0.5,2.25
Daniela Ciobanu,0,6,0,4,158,120,50,34,13,3,0,0.4166666666666667,0.38235294117647056,0.34210526315789475,0,0.6666666666666666,0,1.3333333333333333
Daniela Obando,2,6,2,5,149,112,69,32,20,3,0.6666666666666666,0.6160714285714286,0.625,0.5405405405405406,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.6666666666666667
